grouping,dep_id,url,mrds_id,mas_id,site_name,latitude,longitude,region,country,state,county,com_type,commod1,commod2,commod3,oper_type,dep_type,prod_size,dev_stat,ore,gangue,other_matl,orebody_fm,work_type,model,alteration,conc_proc,names,ore_ctrl,reporter,hrock_unit,hrock_type,arock_unit,arock_type,structure,tectonic,ref,yfp_ba,yr_fst_prd,ylp_ba,yr_lst_prd,dy_ba,disc_yr,prod_yrs,discr,score,"",Site_Name,Other_Name,Last_Updt,Commodity,MinReg_ID,Remarks,Approx_Lon,Approx_Lat,Loc_Pt,Loc_Poly,GeolMinOcc,Resources,Production,History,Dep_Model,Descr_Sum
1,10006806,https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10006806,C004723,,Alhambra Mine,38.72768,-119.97211,NA,United States,California,Alpine,M,"Gold, Silver","Copper, Lead, Zinc, Tungsten",Molybdenum,Unknown,,S,Past Producer,"Chalcopyrite, Galena, Pyrite",Quartz,,,Underground,,,,Wolframite,,"Hayden, F. (Albers, J.), Fraticelli, L. A. (Albers, J.), Mosier, Dan",,Diorite,,Quartzite,,,"CLARK, W.B., 1977; MINES AND MINERAL RESOURCES OF ALPINE COUNTY, CA., COUNTY REPT. 8;  CA. DIV. OF MINES AND GEOLOGY, P. 40GOODWIN, J.G., 1957;  LEAD AND ZINC IN CALIFORNIA;  CALIF. JOUR. MINES AND GEOLOGY, VOL. 53, NOS. 3&4;  DIV. OF MINES, P. 413",,,,,,,"1930'S, 1950'S",,B,,,,,,,,,,,,,,,,,
1,10159808,https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10159808,C004723,60030004,Allumbra Mine,38.7282,-119.9721,NA,United States,California,Alpine,M,Gold,,"Molybdenum, Tungsten",Unknown,,,Past Producer,,,,,,,,,Wolframite,,Western Field Operations Center (WFOC),,,,,,,"CALIF ST MNG BUR 27 REPT 1931 P488CALIF JOUR MINES&GEOL V38P. 311, V. 53, NOS. 3&4, P. 413;  ENTRANCE IS 2400 S, 2100 ENW CORNER OF SECTIONWFOC MPF NO. 0060030004INFORMATION FROM THE FILES OF D. SCOTT, WFOC, SPOKANE, WARARE II FILE REPORT NO. 4982 AND 5982.CA. JOURNAL OF MINES AND GEOLOGY, VOL. 53, JULY-OCTOBER 1957NOS. 3 AND 4, P. 413.CA. JOURNAL OF MINES AND GEOLOGY, VOL. 38, JAN. 1942, NO. 1,P. 303 AND P. 311.CA. JOURNAL OF MINES AND GEOLOGY, VOL. 37, OCT. 1941, NO. 4,P. 565.CHAPTER OF REPORT XXVII OF THE STATE MINERALOGIST, VOL. 27,OCT., 1931, NO. 4, PGS. 488-490.",,,,,,,,,D,,,,,,,,,,,,,,,,,
1,10187208,https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10187208,,60030077,Wolframite,38.7577,-119.9324,NA,United States,California,Alpine,M,Tungsten,,,Unknown,,,Occurrence,,,,,,,,,,,Western Field Operations Center (WFOC),,,,,,,"C D M & G CO. REPT. 8, 1977",,,,,,,,,D,,,,,,,,,,,,,,,,,
10,10076542,https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10076542,W023603,,Adrian Alexander,36.96772,-119.3354,NA,United States,California,Fresno,M,Tungsten,,,Unknown,,Y,Producer,,,,,,,,,,,Unknown,,,,,,,"CJM & G V 47,NO 3,JULY 1957,P 548,534,PL 31;V 54 NO 1,JAN 1958,P165;SR 35,P 76;USBM MIN YEARBOOK, 1954 V 3,P 208",,,,,,,,,D,,,,,,,,,,,,,,,,,
10,10139491,https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10139491,W023603,60190180,Adrian Alexander,36.96774,-119.33536,NA,United States,California,Fresno,M,Tungsten,,,Underground,,,Past Producer,,,,,,,,,"Red Bud,Spanish Peak",,Western Field Operations Center (WFOC),,,,,,,"CJM & G V 47,NO 3,JULY 1957,P 548,534,PL 31;V 54 NO 1,JAN 19165;SR 35,P 76;USBM MIN YEARBOOK, 1954 V 3,P 208",,,,,,,,,D,,,,,,,,,,,,,,,,,
100,10008557,https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10008557,D000859,,Hill Top,37.34994,-118.53427,NA,United States,California,Inyo,M,Tungsten,,,Unknown,,S,Past Producer,Scheelite,,,,,,,,,,"Elliott, James E., Fraticelli, L. A. (Albers, J.)",,Gabbro,,Gabbro,,,"LEMMON, D.M.;  TUNGSTEN DEPOSITS IN THE US;  VOL. I;  UNPUBLISHED DATA, P. 251.LEMMON, D.M. AND TWETO, O.L., 1962;  TUNGSTEN IN THE US;  USGS MAP, MR-25.",,,,,,,,,C,,,,,,,,,,,,,,,,,
100,10114969,https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10114969,D000859,60270032,Hilltop Prospect,37.35354,-118.49454,NA,United States,California,Inyo,M,Tungsten,,,Underground,,,Past Producer,,,,,,,,,Hilltop,,"Lowe, Nathan T.",,,,,,,,,,,,,,,,E,,,,,,,,,,,,,,,,,
101,10115072,https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10115072,,60270074,Holiday Claims,36.36467,-118.05092,NA,United States,California,Inyo,M,Tungsten,,,Surface,,,Prospect,,,,,,,,,,,"Lowe, Nathan T.",,,,,,,,,,,,,,,,E,,,,,,,,,,,,,,,,,
102,10188024,https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10188024,,60271562,Indian Prospect,36.76966,-117.64761,NA,United States,California,Inyo,M,Tungsten,,,Surface,,,Prospect,,,,,,,,,Indian,,"McHugh, Edward L.",,,,,,,"U. S. BUREAU OF MINES OPEN-FILE REPORT MLA 16-84, 1984, TABLE 1,NO. 46, P. 26.",,,,,,,,,D,,,,,,,,,,,,,,,,,
103,10008558,https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10008558,D000860,,El Diablo Mining Co,37.34994,-118.53427,NA,United States,California,Inyo,M,Tungsten,,,Unknown,,S,Past Producer,Scheelite,,,,,,,,Jackrabbit,,"Elliott, James E., Mosier, Dan, Fraticelli, L. A. (Albers, J.)",,Diorite,,,,,"LEMMON, D.M.;  TUNGSTEN DEPOSITS IN THE US, VOL. I;  UNPUBLISHED DATA, P. 251-252.LEMMON, D.M., AND TWETO, O.L., 1962;  TUNGSTEN IN THE US;  USGS MAP, MR-25.",,,,,,,,,C,,,,,,,,,,,,,,,,,
